#
# The Tor Project
#
# URL: https://metrics.torproject.org/versions.csv?start=2019-02-18&end=2019-05-19
#
date,version,relays
2019-03-02,0.2.8,20
2019-03-02,0.2.9,1141
2019-03-02,0.3.0,62
2019-03-02,0.3.1,75
2019-03-02,0.3.2,264
2019-03-02,0.3.3,450
2019-03-02,0.3.4,1526
2019-03-02,0.3.5,2463
2019-03-02,0.4.0,175
2019-03-02,0.4.1,6
2019-03-02,Other,1
2019-03-03,0.2.4,149
2019-03-03,0.2.5,154
2019-03-03,0.2.6,19
2019-03-03,0.2.7,84
2019-03-03,0.2.8,20
2019-03-03,0.2.9,1137
2019-03-03,0.3.0,61
2019-03-03,0.3.1,75
2019-03-03,0.3.2,262
2019-03-03,0.3.3,445
2019-03-03,0.3.4,1504
2019-03-03,0.3.5,2485
2019-03-03,0.4.0,177
2019-03-03,0.4.1,6
2019-03-03,Other,1
2019-03-04,0.2.4,143
2019-03-04,0.2.5,158
2019-03-04,0.2.6,20
2019-03-04,0.2.7,85
2019-03-04,0.2.8,20
2019-03-04,0.2.9,1143
2019-03-04,0.3.0,61
2019-03-04,0.3.1,74
2019-03-04,0.3.2,264
2019-03-04,0.3.3,441
2019-03-04,0.3.4,1467
2019-03-04,0.3.5,2522
2019-03-04,0.4.0,177
2019-03-04,0.4.1,6
2019-03-04,Other,1
2019-03-05,0.2.4,142
2019-03-05,0.2.5,155
2019-03-05,0.2.6,20
2019-03-05,0.2.7,84
2019-03-05,0.2.8,20
2019-03-05,0.2.9,1141
2019-03-05,0.3.0,60
2019-03-05,0.3.1,76
2019-03-05,0.3.2,261
2019-03-05,0.3.3,439
2019-03-05,0.3.4,1441
2019-03-05,0.3.5,2544
2019-03-05,0.4.0,182
2019-03-05,0.4.1,7
2019-03-05,Other,1
2019-03-06,0.2.4,144
2019-03-06,0.2.5,152
2019-03-06,0.2.6,20
2019-03-06,0.2.7,83
2019-03-06,0.2.8,22
2019-03-06,0.2.9,1151
2019-03-06,0.3.0,61
2019-03-06,0.3.1,76
2019-03-06,0.3.2,266
2019-03-06,0.3.3,438
2019-03-06,0.3.4,1420
2019-03-06,0.3.5,2576
2019-03-06,0.4.0,175
2019-03-06,0.4.1,15
2019-03-06,Other,1
2019-03-07,0.2.4,145
2019-03-07,0.2.5,149
2019-03-07,0.2.6,21
2019-03-07,0.2.7,83
2019-03-07,0.2.8,21
2019-03-07,0.2.9,1153
2019-03-07,0.3.0,61
2019-03-07,0.3.1,79
2019-03-07,0.3.2,265
2019-03-07,0.3.3,438
2019-03-07,0.3.4,1406
2019-03-07,0.3.5,2608
2019-03-07,0.4.0,177
2019-03-07,0.4.1,12
2019-03-07,Other,1
2019-03-08,0.2.4,140
